brand,total_tweets,customer_tweets,support_tweets,conversations,avg_conversation_length
AmazonHelp,305000,135160,169840,135160,2.26
AppleSupport,204756,97896,106860,97896,2.09
Uber_Support,102894,46624,56270,46624,2.21
Delta,87091,44838,42253,44838,1.94
AmericanAir,86281,49517,36764,49517,1.74
SpotifyCares,74618,31353,43265,31353,2.38
Tesco,72537,33964,38573,33964,2.14
VirginTrains,65213,37396,27817,37396,1.74
SouthwestAir,64083,35106,28977,35106,1.83
British_Airways,60217,30856,29361,30856,1.95
comcastcares,56309,23278,33031,23278,2.42
TMobileHelp,56281,21964,34317,21964,2.56
XboxSupport,52681,28124,24557,28124,1.87
Ask_Spectrum,49536,23676,25860,23676,2.09
GWRHelp,46385,27021,19364,27021,1.72
ATVIAssist,42391,24741,17650,24741,1.71
sainsburys,42328,22862,19466,22862,1.85
AskPlayStation,41361,22263,19098,22263,1.86
ChipotleTweets,40564,21815,18749,21815,1.86
hulu_support,40487,18615,21872,18615,2.17
sprintcare,36127,13746,22381,13746,2.63
VerizonSupport,35895,17929,17966,17929,2.0
O2,35647,19435,16212,19435,1.83
Safaricom_Care,33351,17274,16077,17274,1.93
UPSHelp,32470,14653,17817,14653,2.22
idea_cares,31658,15934,15724,15934,1.99
SW_Help,27982,15751,12231,15751,1.78
AirAsiaSupport,25848,13019,12829,13019,1.99
marksandspencer,25534,14030,11504,14030,1.82
ArgosHelpers,23413,11239,12174,11239,2.08
MicrosoftHelps,21919,10615,11304,10615,2.06
AskPayPal,21516,10218,11298,10218,2.11
Morrisons,21462,11336,10126,11336,1.89
AskTarget,20461,7243,13218,7243,2.82
AskAmex,20275,8917,11358,8917,2.27
AldiUK,18778,10664,8114,10664,1.76
BofA_Help,18733,6050,12683,6050,3.1
AskLyft,18685,6876,11809,6876,2.72
AskeBay,17940,8254,9686,8254,2.17
JetBlue,17822,9802,8020,9802,1.82
AdobeCare,17147,7230,9917,7230,2.37
airtel_care,16629,6748,9881,6748,2.46
AlaskaAir,16523,9045,7478,9045,1.83
LondonMidland,16300,9478,6822,9478,1.72
AirbnbHelp,15466,6591,8875,6591,2.35
GloCare,14790,8482,6308,8482,1.74
CoxHelp,14696,6835,7861,6835,2.15
AzureSupport,14151,6586,7565,6586,2.15
ChaseSupport,13111,4300,8811,4300,3.05
McDonalds,12964,4486,8478,4486,2.89
HPSupport,12357,5157,7200,5157,2.4
GreggsOfficial,10661,6139,4522,6139,1.74
VirginAtlantic,10193,5875,4318,5875,1.73
nationalrailenq,10160,5716,4444,5716,1.78
Ask_WellsFargo,10036,2458,7578,2458,4.08
DropboxSupport,9905,3951,5954,3951,2.51
DellCares,8497,3161,5336,3161,2.69
ATT,8336,5546,2790,5546,1.5
NikeSupport,7254,3786,3468,3786,1.92
VirginAmerica,6706,3891,2815,3891,1.72
TacoBellTeam,6512,2430,4082,2430,2.68
AskCiti,6014,1933,4081,1933,3.11
Postmates_Help,5916,2570,3346,2570,2.3
CenturyLinkHelp,5852,2051,3801,2051,2.85
AskPapaJohns,5817,1909,3908,1909,3.05
TfL,5149,2906,2243,2906,1.77
Walmart,4624,1981,2643,1981,2.33
IHGService,3831,1188,2643,1188,3.22
AsurionCares,3814,1916,1898,1916,1.99
KFC_UKI_Help,3769,1666,2103,1666,2.26
sizehelpteam,3507,2025,1482,2025,1.73
GoDaddyHelp,3466,1501,1965,1501,2.31
NortonSupport,3296,1285,2011,1285,2.56
TwitterSupport,3091,1801,1290,1801,1.72
askpanera,2979,826,2153,826,3.61
SCsupport,2923,1594,1329,1594,1.83
DunkinDonuts,2873,1583,1290,1583,1.81
ArbysCares,2758,854,1904,854,3.23
DoorDash_Help,2658,1077,1581,1077,2.47
Kimpton,2597,1258,1339,1258,2.06
VMUcare,2371,990,1381,990,2.39
USCellularCares,2145,968,1177,968,2.22
YahooCare,1965,1059,906,1059,1.86
AskRBC,1730,719,1011,719,2.41
AWSSupport,1704,669,1035,669,2.55
GooglePlayMusic,1688,884,804,884,1.91
AskVirginMoney,1678,764,914,764,2.2
NeweggService,1660,581,1079,581,2.86
PandoraSupport,1566,523,1043,523,2.99
MTNC_Care,1526,742,784,742,2.06
BoostCare,1506,599,907,599,2.51
OPPOCareIN,1504,625,879,625,2.41
MOO,1398,768,630,768,1.82
AskSeagate,1335,696,639,696,1.92
PearsonSupport,1328,487,841,487,2.73
asksalesforce,1297,587,710,587,2.21
HiltonHelp,1234,401,833,401,3.08
AskTigogh,1198,483,715,483,2.48
askvisa,969,260,709,260,3.73
KeyBank_Help,962,407,555,407,2.36
ask_progressive,811,199,612,199,4.08
AskRobinhood,802,370,432,370,2.17
JackBox,570,304,266,304,1.88
mediatemplehelp,514,209,305,209,2.46
OfficeSupport,411,193,218,193,2.13
CarlsJr,398,202,196,202,1.97
AskDSC,264,54,210,54,4.89
HotelTonightCX,239,87,152,87,2.75
